ENTIDAD_FEDERATIVA,Depresion_Sem,Depresion_M,Depresion_F,Parkinson_Sem,Parkinson_M,Parkinson_F,Alzheimer_Sem,Alzheimer_M,Alzheimer_F,ANIO,SEMANA
Zacatecas,33,102,344.0,,9.0,2.0,,,2.0,2014,25
TOTAL,1690,7068,23848.0,117.0,1398.0,1331.0,48.0,367.0,584.0,2014,25
Aguascalientes,11,56,135.0,,2.0,3.0,,,2.0,2014,26
Campeche,14,93,287.0,,12.0,11.0,1.0,8.0,9.0,2014,26
Chihuahua,120,393,1435.0,11.0,78.0,107.0,2.0,15.0,38.0,2014,26
Distrito Federal,373,18174780,4.0,49.0,102.0,,28.0,38.0,,2014,26
Guerrero,13,65,207.0,9.0,57.0,31.0,,7.0,11.0,2014,26
Jalisco,127,5291176,1.0,43.0,47.0,,8.0,13.0,,2014,26
México,120,5942207,17.0,171.0,137.0,3.0,40.0,38.0,,2014,26
Michoacán,90,245,975.0,5.0,86.0,62.0,2.0,26.0,23.0,2014,26
Morelos,59,199,908.0,5.0,55.0,34.0,1.0,7.0,16.0,2014,26
Nayarit,23,135,489.0,3.0,21.0,23.0,2.0,13.0,19.0,2014,26
Nuevo León,76,3371185,11.0,93.0,104.0,6.0,38.0,63.0,,2014,26
Oaxaca,30,126,478.0,3.0,33.0,27.0,1.0,10.0,10.0,2014,26
Querétaro,20,56,147.0,,5.0,4.0,,2.0,,2014,26
Quintana Roo,13,54,226.0,2.0,24.0,20.0,,4.0,12.0,2014,26
San Luis Potosí,38,204,749.0,1.0,12.0,20.0,,6.0,6.0,2014,26
Tabasco,22,155,461.0,1.0,33.0,13.0,,3.0,6.0,2014,26
Tamaulipas,66,273,1051.0,7.0,99.0,86.0,4.0,20.0,36.0,2014,26
Veracruz,55,3761377,4.0,63.0,58.0,1.0,16.0,42.0,,2014,26
Yucatán,41,118,526.0,1.0,46.0,33.0,1.0,14.0,25.0,2014,26
Zacatecas,19,106,359.0,,9.0,2.0,,,2.0,2014,26
TOTAL,1698,7437,25193.0,127.0,1465.0,1396.0,41.0,386.0,607.0,2014,26
Aguascalientes,11,57,145.0,,2.0,3.0,,,2.0,2014,27
Campeche,15,96,299.0,,12.0,11.0,,8.0,9.0,2014,27
Chihuahua,119,426,1522.0,6.0,80.0,111.0,2.0,17.0,38.0,2014,27
Distrito Federal,376,19285045,5.0,50.0,106.0,4.0,29.0,41.0,,2014,27
Guerrero,17,69,220.0,6.0,62.0,32.0,,7.0,11.0,2014,27
Jalisco,86,5511246,4.0,45.0,49.0,,9.0,13.0,,2014,27
México,133,6212313,5.0,172.0,141.0,2.0,41.0,39.0,,2014,27
Michoacán,52,253,1018.0,3.0,87.0,64.0,2.0,26.0,25.0,2014,27
Morelos,42,203,946.0,7.0,59.0,37.0,4.0,9.0,18.0,2014,27
Nayarit,21,137,508.0,3.0,23.0,24.0,3.0,14.0,21.0,2014,27
Nuevo León,53,3491226,6.0,95.0,108.0,4.0,42.0,63.0,,2014,27
Oaxaca,36,136,507.0,2.0,34.0,28.0,,10.0,9.0,2014,27
Querétaro,6,58,151.0,,5.0,4.0,,2.0,,2014,27
Quintana Roo,11,55,236.0,4.0,25.0,23.0,1.0,4.0,13.0,2014,27
San Luis Potosí,42,217,778.0,,12.0,20.0,,6.0,6.0,2014,27
Tabasco,22,158,480.0,1.0,34.0,13.0,,3.0,6.0,2014,27
Tamaulipas,62,292,1094.0,11.0,105.0,91.0,1.0,20.0,37.0,2014,27
Veracruz,39,3861406,5.0,67.0,59.0,,16.0,42.0,,2014,27
Yucatán,28,129,543.0,3.0,47.0,35.0,1.0,15.0,25.0,2014,27
Zacatecas,27,117,382.0,,9.0,2.0,,,2.0,2014,27
TOTAL,1553,7825,26402.0,112.0,1520.0,1464.0,33.0,405.0,624.0,2014,27
Aguascalientes,17,65,158.0,,2.0,3.0,,,2.0,2014,28
Campeche,15,101,309.0,1.0,12.0,12.0,,8.0,9.0,2014,28
Chihuahua,75,441,1582.0,6.0,84.0,113.0,3.0,19.0,39.0,2014,28
Distrito Federal,294,20105257,2.0,52.0,106.0,2.0,29.0,43.0,,2014,28
Guerrero,14,71,232.0,3.0,63.0,34.0,,7.0,11.0,2014,28
Jalisco,79,4061301,5.0,48.0,51.0,1.0,9.0,14.0,,2014,28
México,127,6432418,18.0,178.0,153.0,1.0,42.0,39.0,,2014,28
Michoacán,73,274,1070.0,5.0,90.0,66.0,1.0,27.0,25.0,2014,28
Morelos,56,212,993.0,7.0,61.0,42.0,1.0,10.0,18.0,2014,28
Nayarit,28,145,528.0,2.0,25.0,24.0,2.0,15.0,22.0,2014,28
Nuevo León,68,3631280,6.0,97.0,112.0,7.0,45.0,67.0,,2014,28
Oaxaca,26,147,522.0,3.0,37.0,28.0,,10.0,9.0,2014,28
Querétaro,1,58,152.0,,5.0,4.0,,2.0,,2014,28
Quintana Roo,15,57,249.0,1.0,26.0,23.0,1.0,5.0,13.0,2014,28
San Luis Potosí,62,231,826.0,,12.0,20.0,,6.0,6.0,2014,28
Tabasco,31,166,504.0,5.0,37.0,15.0,,3.0,6.0,2014,28
Tamaulipas,66,305,1147.0,8.0,106.0,98.0,,20.0,37.0,2014,28
Veracruz,56,3931455,1.0,68.0,59.0,1.0,17.0,42.0,,2014,28
Yucatán,24,133,563.0,3.0,50.0,35.0,2.0,15.0,27.0,2014,28
Zacatecas,28,120,407.0,,9.0,2.0,,,2.0,2014,28
TOTAL,1471,7998,27543.0,115.0,1577.0,1524.0,43.0,421.0,651.0,2014,28
Aguascalientes,32,72,183.0,,2.0,3.0,,,2.0,2014,29
Campeche,33,111,332.0,,12.0,12.0,3.0,9.0,11.0,2014,29
Chihuahua,99,461,1661.0,5.0,87.0,115.0,2.0,21.0,39.0,2014,29
Distrito Federal,236,20775429,2.0,54.0,106.0,2.0,30.0,44.0,,2014,29
Guerrero,17,75,245.0,8.0,68.0,37.0,1.0,7.0,12.0,2014,29
Jalisco,161,4421426,19.0,60.0,58.0,9.0,12.0,20.0,,2014,29
México,139,6702530,16.0,188.0,159.0,3.0,43.0,41.0,,2014,29
Michoacán,49,281,1112.0,1.0,90.0,67.0,2.0,27.0,27.0,2014,29
Morelos,43,224,1.0,24.0,,61.0,42.0,,10.0,2014,29
Nayarit,41,151,563.0,3.0,28.0,24.0,6.0,15.0,28.0,2014,29
Nuevo León,71,3781336,4.0,100.0,113.0,6.0,50.0,68.0,,2014,29
Oaxaca,16,151,534.0,5.0,40.0,30.0,1.0,10.0,10.0,2014,29
Querétaro,9,60,159.0,,5.0,4.0,,2.0,,2014,29
Quintana Roo -,57,249,,26.0,23.0,,5.0,13.0,,2014,29
San Luis Potosí,28,236,849.0,2.0,13.0,21.0,,6.0,6.0,2014,29
Tabasco,22,170,522.0,3.0,40.0,15.0,1.0,3.0,7.0,2014,29
Tamaulipas,70,317,1205.0,9.0,110.0,103.0,1.0,20.0,38.0,2014,29
Veracruz,53,4021499,6.0,70.0,63.0,,17.0,42.0,,2014,29
Yucatán,34,141,589.0,2.0,51.0,36.0,,15.0,27.0,2014,29
Zacatecas,23,130,427.0,,9.0,2.0,,,2.0,2014,29
TOTAL,1495,8339,28707.0,128.0,1655.0,1574.0,51.0,439.0,684.0,2014,29
Aguascalientes,27,80,202.0,,2.0,3.0,1.0,,3.0,2014,30
Campeche,17,114,346.0,,12.0,12.0,,9.0,11.0,2014,30
Chihuahua,123,492,1754.0,7.0,90.0,119.0,2.0,22.0,40.0,2014,30
Distrito Federal,262,21395629,1.0,55.0,106.0,1.0,30.0,45.0,,2014,30
Guerrero,7,76,251.0,10.0,77.0,38.0,1.0,7.0,13.0,2014,30
Jalisco,74,4571488,7.0,64.0,61.0,,12.0,20.0,,2014,30
México,111,7002611,7.0,194.0,160.0,2.0,45.0,41.0,,2014,30
Michoacán,40,296,1.0,150.0,,94.0,67.0,,28.0,2014,30
Morelos,60,2311077,2.0,63.0,42.0,1.0,10.0,19.0,,2014,30
Nayarit,35,160,589.0,1.0,29.0,24.0,,15.0,28.0,2014,30
Nuevo León,64,3961390,4.0,104.0,113.0,2.0,50.0,70.0,,2014,30
Oaxaca,24,154,555.0,12.0,48.0,34.0,,10.0,10.0,2014,30
Querétaro,11,64,166.0,,5.0,4.0,,2.0,,2014,30
Quintana Roo,4,57,253.0,,26.0,23.0,,5.0,13.0,2014,30
San Luis Potosí,27,242,870.0,,13.0,21.0,1.0,7.0,6.0,2014,30
Tabasco,15,171,529.0,,38.0,15.0,,3.0,7.0,2014,30
Tamaulipas,70,339,1253.0,9.0,116.0,106.0,3.0,22.0,39.0,2014,30
Veracruz,36,4121525,4.0,72.0,65.0,,17.0,42.0,,2014,30
Yucatán,46,153,623.0,2.0,52.0,37.0,,15.0,27.0,2014,30
Zacatecas,19,136,442.0,,9.0,2.0,,,2.0,2014,30
TOTAL,1391,8658,29814.0,100.0,1724.0,1608.0,21.0,449.0,696.0,2014,30
Aguascalientes,50,97,235.0,,2.0,3.0,,,3.0,2014,31
Campeche,11,116,355.0,1.0,12.0,13.0,,9.0,11.0,2014,31
Chihuahua,99,511,1834.0,4.0,92.0,121.0,2.0,22.0,42.0,2014,31
Distrito Federal,263,22145818,6.0,58.0,109.0,4.0,32.0,47.0,,2014,31
Guerrero,15,79,263.0,4.0,80.0,39.0,,7.0,13.0,2014,31
Jalisco,99,4861558,4.0,66.0,63.0,1.0,12.0,21.0,,2014,31
México,126,7262711,9.0,200.0,163.0,6.0,47.0,45.0,,2014,31
Michoacán,34,303,1177.0,2.0,94.0,69.0,,28.0,27.0,2014,31
Morelos,62,2411129,8.0,67.0,46.0,1.0,10.0,20.0,,2014,31
Nayarit,38,166,621.0,1.0,30.0,24.0,5.0,18.0,30.0,2014,31
Nuevo León,52,4021436,5.0,106.0,116.0,4.0,52.0,72.0,,2014,31
Oaxaca,15,157,567.0,4.0,51.0,36.0,,10.0,10.0,2014,31
Querétaro,7,66,171.0,,5.0,4.0,,2.0,,2014,31
Quintana Roo,4,58,256.0,1.0,27.0,23.0,,5.0,13.0,2014,31
San Luis Potosí,33,249,896.0,,13.0,21.0,,7.0,6.0,2014,31
Tabasco,22,173,549.0,2.0,40.0,15.0,,3.0,7.0,2014,31
Tamaulipas,89,360,1322.0,7.0,121.0,110.0,2.0,22.0,41.0,2014,31
Veracruz,61,4251573,2.0,74.0,65.0,,17.0,42.0,,2014,31
Yucatán,26,158,644.0,4.0,54.0,39.0,1.0,16.0,27.0,2014,31
Zacatecas,14,139,453.0,1.0,10.0,2.0,,,2.0,2014,31
TOTAL,1429,8991,30916.0,100.0,1779.0,1656.0,40.0,465.0,720.0,2014,31
Aguascalientes,17,100,251.0,,2.0,3.0,,,3.0,2014,32
Campeche,20,120,371.0,,12.0,13.0,,9.0,11.0,2014,32
Chihuahua,117,541,1921.0,11.0,97.0,127.0,,22.0,42.0,2014,32
Distrito Federal,186,22545957,7.0,61.0,113.0,1.0,32.0,48.0,,2014,32
Guerrero,17,81,278.0,6.0,86.0,40.0,,7.0,13.0,2014,32
Jalisco,82,5111617,16.0,73.0,72.0,6.0,14.0,25.0,,2014,32
México,108,7442801,11.0,206.0,168.0,7.0,53.0,46.0,,2014,32
Michoacán,23,307,1.0,198.0,,94.0,69.0,,28.0,2014,32
Morelos,36,2531153,6.0,72.0,47.0,2.0,11.0,21.0,,2014,32
Nayarit,32,178,641.0,2.0,31.0,25.0,,18.0,30.0,2014,32
Nuevo León,57,4081487,4.0,107.0,119.0,5.0,57.0,72.0,,2014,32
Oaxaca,20,160,587.0,3.0,54.0,37.0,,10.0,10.0,2014,32
Querétaro,12,69,180.0,,5.0,4.0,,2.0,,2014,32
Quintana Roo,3,60,257.0,,27.0,23.0,,5.0,13.0,2014,32
San Luis Potosí,25,258,912.0,1.0,13.0,22.0,,7.0,6.0,2014,32
Tabasco,23,177,568.0,2.0,41.0,16.0,,3.0,7.0,2014,32
Tamaulipas,67,370,1379.0,11.0,126.0,116.0,3.0,24.0,42.0,2014,32
Veracruz,32,4271603,2.0,74.0,67.0,,17.0,42.0,,2014,32
Yucatán,26,164,664.0,1.0,55.0,39.0,2.0,17.0,28.0,2014,32
Zacatecas,9,141,460.0,,10.0,2.0,,,2.0,2014,32
TOTAL,1194,9240,31866.0,111.0,1840.0,1708.0,35.0,483.0,737.0,2014,32
Aguascalientes,45,114,286.0,,2.0,4.0,,,3.0,2014,33
Campeche,18,123,386.0,,12.0,13.0,2.0,9.0,13.0,2014,33
Chihuahua,95,556,2002.0,8.0,102.0,130.0,1.0,22.0,43.0,2014,33
Distrito Federal,235,22976150,9.0,63.0,120.0,1.0,33.0,48.0,,2014,33
Guerrero,13,84,288.0,4.0,89.0,41.0,,7.0,13.0,2014,33
Jalisco,60,5281660,3.0,76.0,72.0,3.0,14.0,28.0,,2014,33
México,136,7772971,8.0,212.0,170.0,3.0,53.0,49.0,,2014,33
Michoacán,38,313,1230.0,4.0,95.0,72.0,,28.0,27.0,2014,33
Morelos,58,2651199,3.0,75.0,47.0,,11.0,21.0,,2014,33
Nayarit,36,194,660.0,2.0,32.0,26.0,1.0,18.0,31.0,2014,33
Nuevo León,71,4311550,7.0,113.0,120.0,2.0,58.0,73.0,,2014,33
Oaxaca,22,167,604.0,2.0,54.0,39.0,,10.0,10.0,2014,33
Querétaro,6,69,186.0,,5.0,4.0,,2.0,,2014,33
Quintana Roo,5,61,261.0,,27.0,23.0,,5.0,13.0,2014,33
San Luis Potosí,49,270,949.0,1.0,13.0,23.0,,7.0,6.0,2014,33
Tabasco,24,179,590.0,,41.0,16.0,,3.0,7.0,2014,33
Tamaulipas,50,379,1420.0,9.0,131.0,120.0,3.0,24.0,45.0,2014,33
Veracruz,52,4371645,7.0,77.0,71.0,,17.0,42.0,,2014,33
Yucatán,26,168,686.0,2.0,57.0,39.0,1.0,18.0,28.0,2014,33
Zacatecas,16,145,472.0,1.0,11.0,2.0,,,2.0,2014,33
TOTAL,1318,9542,33025.0,108.0,1909.0,1761.0,26.0,490.0,757.0,2014,33
Aguascalientes,43,131,317.0,1.0,3.0,5.0,,,3.0,2014,34
Campeche,23,128,404.0,1.0,13.0,13.0,1.0,9.0,14.0,2014,34
Chihuahua,119,581,2096.0,10.0,106.0,136.0,2.0,22.0,45.0,2014,34
Distrito Federal,233,23466332,7.0,66.0,124.0,,33.0,48.0,,2014,34
Guerrero,10,86,296.0,,89.0,41.0,,7.0,13.0,2014,34
Jalisco,62,541,1.0,711.0,,76.0,73.0,2.0,15.0,2014,34
México,163,8223120,7.0,221.0,178.0,3.0,60.0,49.0,,2014,34
Michoacán,48,320,1271.0,3.0,96.0,74.0,,28.0,27.0,2014,34
Morelos,68,233,995.0,6.0,26.0,15.0,3.0,3.0,11.0,2014,34
Nayarit,32,201,693.0,4.0,35.0,27.0,3.0,20.0,32.0,2014,34
Nuevo León,84,4561616,6.0,115.0,124.0,4.0,60.0,75.0,,2014,34
Oaxaca,13,153,586.0,2.0,54.0,40.0,,10.0,10.0,2014,34
Querétaro,12,72,195.0,,5.0,4.0,,2.0,,2014,34
Quintana Roo,3,61,264.0,,27.0,23.0,,5.0,13.0,2014,34
San Luis Potosí,66,294,991.0,1.0,13.0,24.0,,7.0,6.0,2014,34
Tabasco,17,183,608.0,,41.0,16.0,,3.0,7.0,2014,34
Tamaulipas,89,411,1517.0,8.0,139.0,133.0,1.0,27.0,47.0,2014,34
Veracruz,57,4511688,1.0,78.0,71.0,,17.0,42.0,,2014,34
Yucatán,30,173,711.0,2.0,59.0,39.0,2.0,18.0,30.0,2014,34
Zacatecas,28,152,493.0,1.0,12.0,2.0,,,2.0,2014,34
TOTAL,1551,9841,34036.0,92.0,1916.0,1785.0,36.0,502.0,768.0,2014,34
Aguascalientes,17,136,329.0,,3.0,5.0,1.0,1.0,3.0,2014,35
Campeche,14,112,303.0,,3.0,2.0,1.0,3.0,9.0,2014,35
Chihuahua,106,603,2176.0,8.0,111.0,139.0,6.0,27.0,46.0,2014,35
Distrito Federal,278,24106561,4.0,67.0,127.0,1.0,34.0,48.0,,2014,35
Guerrero,14,89,307.0,3.0,92.0,41.0,,7.0,13.0,2014,35
Jalisco,93,5691780,8.0,80.0,77.0,3.0,16.0,31.0,,2014,35
México,130,8403232,14.0,230.0,183.0,6.0,61.0,54.0,,2014,35
Michoacán,88,336,1343.0,1.0,96.0,75.0,,28.0,27.0,2014,35
Morelos,60,2461042,6.0,30.0,17.0,,3.0,11.0,,2014,35
Nayarit,26,210,710.0,1.0,35.0,28.0,2.0,22.0,32.0,2014,35
Nuevo León,74,4711675,15.0,123.0,131.0,5.0,62.0,78.0,,2014,35
Oaxaca,30,158,611.0,5.0,58.0,41.0,1.0,10.0,11.0,2014,35
Querétaro,15,77,205.0,,5.0,4.0,,2.0,,2014,35
Quintana Roo -,64,275,,28.0,26.0,,5.0,14.0,,2014,35
San Luis Potosí,58,299,1034.0,2.0,13.0,26.0,2.0,8.0,7.0,2014,35
Tabasco,28,187,632.0,,41.0,16.0,1.0,3.0,8.0,2014,35
Tamaulipas,78,429,1577.0,4.0,141.0,135.0,,27.0,47.0,2014,35
Veracruz,64,3671485,1.0,72.0,63.0,,16.0,36.0,,2014,35
Yucatán,40,175,749.0,2.0,60.0,40.0,,18.0,30.0,2014,35
Zacatecas,21,160,506.0,,12.0,2.0,,,2.0,2014,35
TOTAL,1588,10071,35040.0,115.0,1963.0,1817.0,38.0,509.0,777.0,2014,35
Aguascalientes,18,137,350.0,,3.0,5.0,,1.0,3.0,2014,36
Campeche,20,117,318.0,,3.0,2.0,1.0,3.0,10.0,2014,36
Chihuahua,125,634,2270.0,6.0,114.0,142.0,4.0,28.0,49.0,2014,36
Distrito Federal,214,24656722,3.0,69.0,128.0,,34.0,48.0,,2014,36
Guerrero,10,92,314.0,4.0,95.0,42.0,6.0,10.0,16.0,2014,36
Jalisco,78,5871840,10.0,84.0,83.0,1.0,17.0,31.0,,2014,36
México,159,8703326,9.0,235.0,187.0,5.0,63.0,57.0,,2014,36
Michoacán,54,353,1384.0,1.0,97.0,75.0,,28.0,27.0,2014,36
Morelos,41,2581071,10.0,35.0,22.0,1.0,4.0,11.0,,2014,36
Nayarit,55,221,754.0,1.0,36.0,28.0,2.0,22.0,34.0,2014,36
Nuevo León,91,4871750,6.0,128.0,132.0,3.0,63.0,80.0,,2014,36
Oaxaca,23,161,635.0,5.0,64.0,44.0,,10.0,11.0,2014,36
Querétaro,18,82,217.0,,5.0,4.0,1.0,2.0,1.0,2014,36
Quintana Roo,3,65,277.0,,28.0,26.0,,5.0,14.0,2014,36
San Luis Potosí,59,312,1080.0,3.0,13.0,29.0,,8.0,7.0,2014,36
Tabasco,12,188,643.0,,41.0,16.0,,3.0,8.0,2014,36
Tamaulipas,67,443,1630.0,6.0,145.0,137.0,2.0,29.0,47.0,2014,36
Veracruz,42,3781516,5.0,75.0,65.0,,16.0,36.0,,2014,36
Yucatán,53,184,793.0,3.0,61.0,42.0,1.0,19.0,30.0,2014,36
Zacatecas,26,166,526.0,1.0,12.0,3.0,,,2.0,2014,36
TOTAL,1501,10413,36201.0,106.0,2021.0,1867.0,36.0,526.0,794.0,2014,36
Aguascalientes,35,149,373.0,1.0,4.0,5.0,,1.0,3.0,2014,37
Campeche,13,120,328.0,,3.0,2.0,1.0,4.0,10.0,2014,37
Chihuahua,162,672,2.0,394.0,,114.0,142.0,3.0,29.0,2014,37
Distrito Federal,250,2,523.0,6.0,914.0,,69.0,128.0,1.0,2014,37
Guerrero,8,93,321.0,2.0,95.0,44.0,,10.0,16.0,2014,37
Jalisco,87,6201894,2.0,86.0,83.0,2.0,18.0,32.0,,2014,37
México,148,9013443,13.0,240.0,195.0,4.0,64.0,60.0,,2014,37
Michoacán,46,361,1.0,422.0,,97.0,75.0,,28.0,2014,37
Morelos,49,265,1.0,113.0,,35.0,22.0,,4.0,2014,37
Nayarit,51,233,793.0,5.0,39.0,30.0,3.0,22.0,37.0,2014,37
Nuevo León,74,4991812,8.0,133.0,135.0,6.0,67.0,82.0,,2014,37
Oaxaca,25,164,657.0,3.0,66.0,45.0,,10.0,11.0,2014,37
Querétaro,11,84,226.0,,5.0,4.0,,2.0,1.0,2014,37
Quintana Roo,2,65,279.0,,28.0,26.0,,5.0,14.0,2014,37
San Luis Potosí,75,330,1.0,137.0,,13.0,29.0,1.0,9.0,2014,37
Tabasco,26,195,662.0,,41.0,16.0,,3.0,8.0,2014,37
Tamaulipas,69,459,1683.0,6.0,150.0,138.0,2.0,30.0,48.0,2014,37
Veracruz,146,4071633,7.0,80.0,67.0,5.0,18.0,39.0,,2014,37
Yucatán,5,184,798.0,,61.0,42.0,,19.0,30.0,2014,37
Zacatecas,18,171,539.0,,12.0,3.0,,,2.0,2014,37
TOTAL,1609,10772,37464.0,71.0,2061.0,1901.0,36.0,542.0,815.0,2014,37
Aguascalientes,17,155,385.0,,4.0,5.0,,1.0,3.0,2014,38
Campeche,4,121,331.0,1.0,4.0,2.0,,4.0,10.0,2014,38
Chihuahua,98,697,2467.0,3.0,115.0,144.0,3.0,30.0,53.0,2014,38
Distrito Federal,222,25987066,4.0,69.0,86.0,1.0,35.0,49.0,,2014,38
Guerrero,16,95,340.0,5.0,97.0,50.0,1.0,12.0,16.0,2014,38
Jalisco,75,6321957,7.0,91.0,85.0,3.0,19.0,34.0,,2014,38
México,150,9343560,14.0,247.0,202.0,5.0,66.0,63.0,,2014,38
Michoacán,53,370,1466.0,3.0,98.0,77.0,2.0,29.0,28.0,2014,38
Morelos,49,2741166,5.0,42.0,27.0,,4.0,14.0,,2014,38
Nayarit,30,239,817.0,1.0,40.0,30.0,2.0,22.0,39.0,2014,38
Nuevo León,52,5181845,7.0,137.0,138.0,4.0,70.0,83.0,,2014,38
Oaxaca,29,175,679.0,5.0,69.0,47.0,,10.0,11.0,2014,38
Querétaro,15,87,254.0,,8.0,4.0,,2.0,2.0,2014,38
Quintana Roo,3,66,281.0,,28.0,26.0,,5.0,14.0,2014,38
San Luis Potosí,67,343,1.0,191.0,,13.0,29.0,1.0,9.0,2014,38
Tabasco,28,195,692.0,1.0,41.0,17.0,,3.0,8.0,2014,38
Tamaulipas,78,474,1746.0,7.0,154.0,141.0,4.0,31.0,51.0,2014,38
Veracruz,114,4271727,16.0,89.0,74.0,1.0,19.0,39.0,,2014,38
Yucatán,26,199,834.0,2.0,65.0,43.0,3.0,20.0,32.0,2014,38
Zacatecas,23,174,559.0,,12.0,3.0,,,2.0,2014,38
TOTAL,1464,11110,38636.0,125.0,2137.0,1922.0,39.0,558.0,843.0,2014,38
Aguascalientes,16,158,401.0,,4.0,5.0,,1.0,3.0,2014,39
Campeche,10,123,339.0,,4.0,2.0,,4.0,10.0,2014,39
Chihuahua,90,723,2.0,531.0,,115.0,144.0,1.0,31.0,2014,39
Distrito Federal,249,26627252,1.0,70.0,86.0,,35.0,49.0,,2014,39
Guerrero,12,96,351.0,3.0,98.0,52.0,,12.0,16.0,2014,39
Jalisco,76,6532012,3.0,92.0,87.0,1.0,20.0,34.0,,2014,39
México,96,9613663,9.0,254.0,204.0,2.0,67.0,64.0,,2014,39
Michoacán,38,377,1497.0,1.0,98.0,78.0,,29.0,28.0,2014,39
Morelos,76,2811235,4.0,44.0,29.0,2.0,5.0,15.0,,2014,39
Nayarit,26,245,837.0,4.0,41.0,33.0,1.0,23.0,39.0,2014,39
Nuevo León,45,5261882,4.0,138.0,141.0,3.0,71.0,85.0,,2014,39
Oaxaca,36,189,703.0,3.0,71.0,48.0,,10.0,11.0,2014,39
Querétaro,8,91,258.0,,8.0,4.0,,2.0,2.0,2014,39
Quintana Roo,2,68,281.0,,28.0,26.0,,5.0,14.0,2014,39
San Luis Potosí,63,363,1234.0,3.0,14.0,31.0,1.0,9.0,9.0,2014,39
Tabasco,18,196,709.0,1.0,42.0,17.0,,3.0,8.0,2014,39
Tamaulipas,56,489,1787.0,3.0,156.0,142.0,2.0,32.0,52.0,2014,39
Veracruz,35,4341755,9.0,94.0,78.0,3.0,19.0,42.0,,2014,39
Yucatán,37,210,860.0,3.0,66.0,45.0,1.0,20.0,33.0,2014,39
Zacatecas,17,177,573.0,,12.0,3.0,,,2.0,2014,39
TOTAL,1288,11426,39667.0,70.0,2177.0,1955.0,25.0,569.0,857.0,2014,39
Aguascalientes,16,162,413.0,,4.0,5.0,,1.0,3.0,2014,40
Campeche,17,131,348.0,1.0,4.0,3.0,4.0,8.0,10.0,2014,40
Chihuahua,162,756,2660.0,5.0,116.0,148.0,2.0,31.0,55.0,2014,40
Distrito Federal,263,27387439,2.0,72.0,86.0,1.0,35.0,50.0,,2014,40
Guerrero,38,100,387.0,10.0,100.0,60.0,1.0,13.0,16.0,2014,40
Jalisco,92,6772080,11.0,99.0,91.0,,20.0,34.0,,2014,40
México,133,9913766,6.0,258.0,206.0,1.0,68.0,64.0,,2014,40
Michoacán,65,393,1546.0,2.0,100.0,78.0,,29.0,28.0,2014,40
Morelos,49,2841281,6.0,48.0,31.0,2.0,5.0,17.0,,2014,40
Nayarit,30,249,863.0,5.0,43.0,36.0,1.0,24.0,39.0,2014,40
Nuevo León,76,5401944,4.0,141.0,142.0,2.0,72.0,86.0,,2014,40
Oaxaca,34,197,730.0,7.0,77.0,49.0,,10.0,11.0,2014,40
Querétaro,16,95,270.0,,8.0,4.0,,2.0,2.0,2014,40
Quintana Roo,1,68,282.0,,28.0,26.0,,5.0,14.0,2014,40
San Luis Potosí,41,376,1.0,262.0,,14.0,31.0,2.0,9.0,2014,40
Tabasco,14,201,718.0,4.0,45.0,18.0,,3.0,8.0,2014,40
Tamaulipas,60,501,1835.0,7.0,161.0,144.0,,32.0,52.0,2014,40
Veracruz,83,4501822,11.0,98.0,85.0,4.0,20.0,45.0,,2014,40
Yucatán,30,221,879.0,1.0,67.0,45.0,,20.0,33.0,2014,40
Zacatecas,22,181,591.0,1.0,13.0,3.0,,,2.0,2014,40
TOTAL,1656,11800,40985.0,109.0,2242.0,2004.0,30.0,581.0,875.0,2014,40
Aguascalientes,24,170,430.0,,4.0,5.0,,1.0,3.0,2014,41
Baja California,22,289,1.0,168.0,,66.0,82.0,,20.0,2014,41
Baja California Sur,9,132,426.0,,18.0,14.0,,5.0,4.0,2014,41
Campeche,16,133,362.0,,4.0,3.0,,8.0,10.0,2014,41
Coahuila,46,312,1201.0,4.0,123.0,127.0,5.0,23.0,48.0,2014,41
Colima,15,146,531.0,3.0,45.0,50.0,1.0,3.0,10.0,2014,41
Chiapas,72,141,788.0,3.0,85.0,55.0,,16.0,22.0,2014,41
Chihuahua,126,792,2750.0,3.0,117.0,150.0,1.0,31.0,56.0,2014,41
Distrito Federal,191,2802,7566.0,5.0,74.0,89.0,,35.0,50.0,2014,41
Durango,45,292,1.0,151.0,,34.0,29.0,,6.0,2014,41
Guanajuato,8,74,311.0,,11.0,12.0,,,2.0,2014,41
Guerrero,9,101,395.0,1.0,100.0,61.0,,13.0,16.0,2014,41
Hidalgo,28,233,1012.0,7.0,73.0,74.0,1.0,7.0,10.0,2014,41
Jalisco,110,699,2168.0,3.0,101.0,92.0,4.0,22.0,36.0,2014,41
México,121,1016,3862.0,11.0,261.0,214.0,3.0,69.0,66.0,2014,41
Michoacán,39,403,1575.0,9.0,109.0,78.0,,29.0,28.0,2014,41
Morelos,28,287,1.0,307.0,,48.0,31.0,,5.0,2014,41
Nayarit,28,257,893.0,2.0,45.0,36.0,,24.0,40.0,2014,41
Nuevo León,60,560,1984.0,7.0,147.0,143.0,4.0,73.0,89.0,2014,41
Oaxaca,20,204,747.0,3.0,78.0,51.0,1.0,10.0,12.0,2014,41
Puebla,33,197,707.0,2.0,64.0,56.0,,2.0,9.0,2014,41
Querétaro,12,98,279.0,,8.0,4.0,,2.0,2.0,2014,41
